Date : 2026-03-14 19:02:16
Directory : f:\SocialApp
Total : 181 files,  12282 codes, 167 comments, 1351 blanks, all 13800 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| f:\SocialApp\src\features\posts\CommentItem.jsx                      | JavaScript JSX |        169 |          1 |         18 |        188 |
| f:\SocialApp\src\features\posts\CommentsBox.jsx                      | JavaScript JSX |         73 |          2 |          8 |         83 |
| f:\SocialApp\src\features\posts\CreateComment.jsx                    | JavaScript JSX |         67 |          0 |          8 |         75 |
| f:\SocialApp\src\features\posts\CreatePost.jsx                       | JavaScript JSX |         73 |          0 |         10 |         83 |
| f:\SocialApp\src\features\posts\Hashtag.jsx                          | JavaScript JSX |         10 |          0 |          3 |         13 |
| f:\SocialApp\src\features\posts\ImageUploader.jsx                    | JavaScript JSX |        177 |          3 |         26 |        206 |
| f:\SocialApp\src\features\posts\PostCard.jsx                         | JavaScript JSX |         92 |          2 |         10 |        104 |
| f:\SocialApp\src\features\posts\PostCardActions.jsx                  | JavaScript JSX |         92 |          0 |         11 |        103 |
| f:\SocialApp\src\features\posts\PostCardCaption.jsx                  | JavaScript JSX |         61 |          0 |         10 |         71 |
| f:\SocialApp\src\features\posts\PostCardHeader.jsx                   | JavaScript JSX |        116 |          0 |         14 |        130 |
| f:\SocialApp\src\features\posts\PostCardImage.jsx                    | JavaScript JSX |         13 |          0 |          4 |         17 |
| f:\SocialApp\src\features\posts\PostFeed.jsx                         | JavaScript JSX |         72 |          1 |         16 |         89 |
| f:\SocialApp\src\features\posts\useComments.js                       | JavaScript     |         14 |          0 |          2 |         16 |
| f:\SocialApp\src\features\posts\useCreateComment.js                  | JavaScript     |         16 |          0 |          4 |         20 |
| f:\SocialApp\src\features\posts\useCreatePost.js                     | JavaScript     |         17 |          0 |          4 |         21 |
| f:\SocialApp\src\features\posts\useDeleteComment.js                  | JavaScript     |         16 |          0 |          4 |         20 |
| f:\SocialApp\src\features\posts\useDeletePost.js                     | JavaScript     |         17 |          0 |          4 |         21 |
| f:\SocialApp\src\features\posts\useLike.js                           | JavaScript     |         21 |          3 |          7 |         31 |
| f:\SocialApp\src\features\posts\usePostById.js                       | JavaScript     |         14 |          0 |          3 |         17 |
| f:\SocialApp\src\features\posts\usePosts.js                          | JavaScript     |         33 |          0 |          6 |         39 |
| f:\SocialApp\src\features\posts\useRepost.js                         | JavaScript     |         25 |          2 |          8 |         35 |
| f:\SocialApp\src\features\posts\useUpdateComment.js                  | JavaScript     |         16 |          0 |          4 |         20 |
| f:\SocialApp\src\features\posts\useUpdatePost.js                     | JavaScript     |         18 |          0 |          6 |         24 |
| f:\SocialApp\src\features\presence\useUpdateOnlineStatus.js          | JavaScript     |         26 |          5 |          7 |         38 |
| f:\SocialApp\src\features\presence\useUserStatus.js                  | JavaScript     |         11 |          0 |          3 |         14 |
| f:\SocialApp\src\features\profile\FollowButtonProfile.jsx            | JavaScript JSX |         20 |          0 |          3 |         23 |
| f:\SocialApp\src\features\profile\FollowerItem.jsx                   | JavaScript JSX |         56 |          0 |          6 |         62 |
| f:\SocialApp\src\features\profile\FollowersModal.jsx                 | JavaScript JSX |         67 |          0 |          9 |         76 |
| f:\SocialApp\src\features\profile\FollowingItem.jsx                  | JavaScript JSX |         56 |          0 |          6 |         62 |
| f:\SocialApp\src\features\profile\FollowingsModal.jsx                | JavaScript JSX |         68 |          1 |         10 |         79 |
| f:\SocialApp\src\features\profile\ProfileHeader.jsx                  | JavaScript JSX |         15 |          1 |          4 |         20 |
| f:\SocialApp\src\features\profile\ProfileImages.jsx                  | JavaScript JSX |        163 |          3 |         22 |        188 |
| f:\SocialApp\src\features\profile\UpdateUserModal.jsx                | JavaScript JSX |        198 |          0 |         18 |        216 |
| f:\SocialApp\src\features\profile\UserDetailsCard.jsx                | JavaScript JSX |        256 |          0 |         25 |        281 |
| f:\SocialApp\src\features\profile\UserPosts.jsx                      | JavaScript JSX |         73 |          0 |         12 |         85 |
| f:\SocialApp\src\features\profile\useFollowersCount.js               | JavaScript     |         12 |          0 |          3 |         15 |
| f:\SocialApp\src\features\profile\useFollowersUsers.js               | JavaScript     |         15 |          0 |          2 |         17 |
| f:\SocialApp\src\features\profile\useFollowingsCount.js              | JavaScript     |         11 |          0 |          3 |         14 |
| f:\SocialApp\src\features\profile\useFollowingsUsers.js              | JavaScript     |         15 |          0 |          2 |         17 |
| f:\SocialApp\src\features\profile\useIsFollowing.js                  | JavaScript     |         10 |          0 |          3 |         13 |
| f:\SocialApp\src\features\profile\useUpdateUserDetails.js            | JavaScript     |         22 |          0 |          3 |         25 |
| f:\SocialApp\src\features\profile\useUploadAvatar.js                 | JavaScript     |         17 |          0 |          4 |         21 |
| f:\SocialApp\src\features\profile\useUploadCover.js                  | JavaScript     |         17 |          0 |          3 |         20 |
| f:\SocialApp\src\features\profile\useUserPosts.js                    | JavaScript     |         29 |          0 |          4 |         33 |
| f:\SocialApp\src\features\stories\CreateStory.jsx                    | JavaScript JSX |         86 |          0 |          3 |         89 |
| f:\SocialApp\src\features\stories\CreateStoryModal.jsx               | JavaScript JSX |         59 |          0 |          6 |         65 |
| f:\SocialApp\src\features\stories\StoriesList.jsx                    | JavaScript JSX |         46 |          0 |          6 |         52 |
| f:\SocialApp\src\features\stories\StoryCircle.jsx                    | JavaScript JSX |         58 |          0 |          2 |         60 |
| f:\SocialApp\src\features\stories\StoryViewer.jsx                    | JavaScript JSX |        293 |          6 |         35 |        334 |
| f:\SocialApp\src\features\stories\Storybar.jsx                       | JavaScript JSX |         40 |          0 |          6 |         46 |
| f:\SocialApp\src\features\stories\ViewsModal.jsx                     | JavaScript JSX |        147 |          0 |         16 |        163 |
| f:\SocialApp\src\features\stories\useCreateStory.js                  | JavaScript     |         21 |          0 |          3 |         24 |
| f:\SocialApp\src\features\stories\useDeleteStory.js                  | JavaScript     |         22 |          3 |          6 |         31 |
| f:\SocialApp\src\features\stories\useRealtimeStories.js              | JavaScript     |         19 |          0 |          4 |         23 |
| f:\SocialApp\src\features\stories\useStories.js                      | JavaScript     |         13 |          0 |          3 |         16 |
| f:\SocialApp\src\features\stories\useStoryViewers.js                 | JavaScript     |         14 |          0 |          3 |         17 |
| f:\SocialApp\src\features\stories\useUnviewedStoriesCount.js         | JavaScript     |          9 |          0 |          3 |         12 |
| f:\SocialApp\src\features\stories\useUserStories.js                  | JavaScript     |         14 |          0 |          3 |         17 |
| f:\SocialApp\src\features\stories\useViewStory.js                    | JavaScript     |         13 |          0 |          4 |         17 |
| f:\SocialApp\src\hooks\useDebounce.js                                | JavaScript     |         11 |          0 |          5 |         16 |
| f:\SocialApp\src\hooks\useGetPage.js                                 | JavaScript     |         15 |          0 |          5 |         20 |
| f:\SocialApp\src\hooks\useLocalStorageState.js                       | JavaScript     |         18 |          0 |          4 |         22 |
| f:\SocialApp\src\hooks\useMoveBack.js                                | JavaScript     |          5 |          0 |          2 |          7 |
| f:\SocialApp\src\hooks\useOutsideClick.js                            | JavaScript     |         16 |          0 |          5 |         21 |
| f:\SocialApp\src\hooks\useScreenSize.js                              | JavaScript     |         33 |          0 |          8 |         41 |
| f:\SocialApp\src\main.jsx                                            | JavaScript JSX |         10 |          0 |          2 |         12 |
| f:\SocialApp\src\pages\CheckEmail.jsx                                | JavaScript JSX |         38 |          0 |          7 |         45 |
| f:\SocialApp\src\pages\Discover.jsx                                  | JavaScript JSX |         17 |          0 |          4 |         21 |
| f:\SocialApp\src\pages\Home.jsx                                      | JavaScript JSX |         21 |          0 |          4 |         25 |
| f:\SocialApp\src\pages\Login.jsx                                     | JavaScript JSX |          5 |          0 |          3 |          8 |
| f:\SocialApp\src\pages\Messages.jsx                                  | JavaScript JSX |          5 |          0 |          3 |          8 |
| f:\SocialApp\src\pages\NotFound.jsx                                  | JavaScript JSX |          4 |          0 |          2 |          6 |
| f:\SocialApp\src\pages\Notifications.jsx                             | JavaScript JSX |         13 |          0 |          4 |         17 |
| f:\SocialApp\src\pages\PostDetails.jsx                               | JavaScript JSX |        142 |          2 |         17 |        161 |
| f:\SocialApp\src\pages\Profile.jsx                                   | JavaScript JSX |         22 |          0 |          4 |         26 |
| f:\SocialApp\src\pages\Signup.jsx                                    | JavaScript JSX |          5 |          0 |          3 |          8 |
| f:\SocialApp\src\services\apiAuth.js                                 | JavaScript     |         71 |          2 |         23 |         96 |
| f:\SocialApp\src\services\apiComments.js                             | JavaScript     |        115 |          5 |         19 |        139 |
| f:\SocialApp\src\services\apiLikes.js                                | JavaScript     |         80 |          7 |         16 |        103 |
| f:\SocialApp\src\services\apiMessages.js                             | JavaScript     |        169 |         22 |         37 |        228 |
| f:\SocialApp\src\services\apiNotifications.js                        | JavaScript     |         92 |          6 |         21 |        119 |
| f:\SocialApp\src\services\apiPosts.js                                | JavaScript     |        226 |          8 |         35 |        269 |
| f:\SocialApp\src\services\apiPresence.js                             | JavaScript     |         47 |          4 |         11 |         62 |
| f:\SocialApp\src\services\apiReposts.js                              | JavaScript     |         64 |          4 |         14 |         82 |
| f:\SocialApp\src\services\apiStorage.js                              | JavaScript     |         62 |         24 |         31 |        117 |
| f:\SocialApp\src\services\apiStories.js                              | JavaScript     |        230 |         22 |         52 |        304 |
| f:\SocialApp\src\services\apiUsers.js                                | JavaScript     |        163 |          6 |         39 |        208 |
