"filename", "language", "JavaScript", "JavaScript JSX", "XML", "JSON", "Markdown", "PostCSS", "HTML", "comment", "blank", "total"
"f:\SocialApp\src\features\notifications\useDeleteNotification.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"f:\SocialApp\src\features\notifications\useMarkAllAsRead.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"f:\SocialApp\src\features\notifications\useMarkAsRead.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"f:\SocialApp\src\features\notifications\useNotifications.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 6, 36
"f:\SocialApp\src\features\notifications\useUnreadCount.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"f:\SocialApp\src\features\posts\CommentItem.jsx", "JavaScript JSX", 0, 169, 0, 0, 0, 0, 0, 1, 18, 188
"f:\SocialApp\src\features\posts\CommentsBox.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 0, 2, 8, 83
"f:\SocialApp\src\features\posts\CreateComment.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 8, 75
"f:\SocialApp\src\features\posts\CreatePost.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 10, 83
"f:\SocialApp\src\features\posts\Hashtag.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"f:\SocialApp\src\features\posts\ImageUploader.jsx", "JavaScript JSX", 0, 177, 0, 0, 0, 0, 0, 3, 26, 206
"f:\SocialApp\src\features\posts\PostCard.jsx", "JavaScript JSX", 0, 92, 0, 0, 0, 0, 0, 2, 10, 104
"f:\SocialApp\src\features\posts\PostCardActions.jsx", "JavaScript JSX", 0, 92, 0, 0, 0, 0, 0, 0, 11, 103
"f:\SocialApp\src\features\posts\PostCardCaption.jsx", "JavaScript JSX", 0, 61, 0, 0, 0, 0, 0, 0, 10, 71
"f:\SocialApp\src\features\posts\PostCardHeader.jsx", "JavaScript JSX", 0, 116, 0, 0, 0, 0, 0, 0, 14, 130
"f:\SocialApp\src\features\posts\PostCardImage.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"f:\SocialApp\src\features\posts\PostFeed.jsx", "JavaScript JSX", 0, 72, 0, 0, 0, 0, 0, 1, 16, 89
